Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
 atom  25 species H  : neighbors at    1.032   1.749   2.061   2.177 A
         d(center): 5.364 A  angles  :    30.9    34.2   164.8    64.0   152.4   133.8
 atom  26 species H  : neighbors at    1.027   1.771   2.030   2.197 A
         d(center): 5.223 A  angles  :    30.2    35.3   162.1    65.5   154.8   133.3
 atom  27 species H  : neighbors at    1.027   1.771   2.030   2.197 A
         d(center): 5.223 A  angles  :    30.2    35.3   162.1    65.5   154.8   133.3
 atom  28 species H  : neighbors at    1.027   1.771   2.030   2.197 A
         d(center): 5.223 A  angles  :    30.2    35.3   162.1    65.5   154.8   133.3
 atom  29 species H  : neighbors at    1.027   1.771   2.030   2.197 A
         d(center): 5.223 A  angles  :    30.2    35.3   162.1    65.5   154.8   133.3
 atom  30 species H  : neighbors at    1.023   1.771   2.066   2.370 A
         d(center): 4.524 A  angles  :    30.3    33.0    87.8    63.3   118.1    54.8
 atom  31 species H  : neighbors at    1.023   1.771   2.066   2.370 A
         d(center): 7.782 A  angles  :    30.3    33.0    87.8    63.3   118.1    54.8
 atom  32 species H  : neighbors at    1.013   1.750   2.035   2.729 A
         d(center): 5.071 A  angles  :    31.5    35.1    74.3    65.5   104.5    39.2
 atom  33 species H  : neighbors at    1.032   1.749   2.061   2.177 A
         d(center): 5.364 A  angles  :    30.9    34.2   164.8    64.0   152.4   133.8
 atom  34 species H  : neighbors at    1.032   1.749   2.061   2.177 A
         d(center): 5.364 A  angles  :    30.9    34.2   164.8    64.0   152.4   133.8
 atom  35 species H  : neighbors at    1.013   1.749   2.035   2.730 A
         d(center): 4.849 A  angles  :    31.5    35.1    74.2    65.5   104.5    39.2
 atom  36 species H  : neighbors at    1.013   1.749   2.035   2.730 A
         d(center): 4.849 A  angles  :    31.5    35.1    74.2    65.5   104.5    39.2
 atom  37 species H  : neighbors at    1.013   1.750   2.035   2.729 A
         d(center):11.979 A  angles  :    31.5    35.1    74.3    65.5   104.5    39.2
 atom  38 species H  : neighbors at    1.023   1.771   2.066   2.370 A
         d(center): 7.681 A  angles  :    30.3    33.0    87.8    63.3   118.1    54.8
 atom  39 species H  : neighbors at    1.023   1.771   2.066   2.370 A
         d(center): 9.954 A  angles  :    30.3    33.0    87.8    63.3   118.1    54.8
 atom  40 species H  : neighbors at    1.032   1.750   2.061   2.177 A
         d(center):13.094 A  angles  :    30.8    34.2   164.8    63.9   152.4   133.8
 atom  41 species H  : neighbors at    1.027   1.771   2.029   2.197 A
         d(center):11.619 A  angles  :    30.2    35.3   162.1    65.5   154.8   133.3
 atom  42 species H  : neighbors at    1.027   1.771   2.029   2.197 A
