Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
  62  64   H-H     2.97995 A  

Nearest neighbors for each atom (up to 4)

 atom   1 species Cl : neighbors at    2.362   2.363   2.582   2.582 A
         d(center): 2.582 A  angles  :   118.7   108.1    79.7    79.7   108.2   165.1
 atom   2 species Cl : neighbors at    2.013   2.347   2.436   2.907 A
         d(center): 7.286 A  angles  :    97.8   163.2    97.6    99.0    73.4    87.3
 atom   3 species N  : neighbors at    1.039   1.039   1.068   1.489 A
         d(center): 4.184 A  angles  :   106.4   107.9   109.8   107.9   109.8   114.7
 atom   4 species C  : neighbors at    1.095   1.095   1.105   1.489 A
         d(center): 4.966 A  angles  :   110.4   110.1   109.0   110.1   109.0   108.2
 atom   5 species H  : neighbors at    1.068   1.704   1.704   2.014 A
         d(center): 4.445 A  angles  :    35.5    35.5   172.4    58.5   140.0   140.0
 atom   6 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center): 4.696 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom   7 species H  : neighbors at    1.105   1.803   1.803   2.114 A
         d(center): 5.025 A  angles  :    34.8    34.8    42.0    59.8    64.8    64.8
 atom   8 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center): 4.794 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom   9 species Mn : neighbors at    2.347   2.347   2.582   2.582 A
         d(center): 0.000 A  angles  :   180.0    91.1    91.1    88.9    88.9    88.5
 atom  10 species Mn : neighbors at    2.347   2.347   2.582   2.582 A
         d(center): 5.120 A  angles  :   180.0    91.0    89.0    89.0    91.0    91.4
 atom  11 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center): 3.171 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom  12 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center): 5.996 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  13 species Cl : neighbors at    2.362   2.363   2.582   2.582 A
         d(center): 5.714 A  angles  :   118.7   108.1    79.7    79.7   108.2   165.1
 atom  14 species Cl : neighbors at    2.362   2.363   2.582   2.582 A
         d(center):20.556 A  angles  :   118.7   108.1    79.7    79.7   108.2   165.1
 atom  15 species Cl : neighbors at    2.362   2.363   2.582   2.582 A
         d(center):19.914 A  angles  :   118.7   108.1    79.7    79.7   108.2   165.1
 atom  16 species Cl : neighbors at    2.013   2.347   2.436   2.907 A
         d(center):17.087 A  angles  :    97.8   163.2    97.6    99.0    73.4    87.3
 atom  17 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center): 7.529 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  18 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center): 9.988 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom  19 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center): 8.346 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  20 species H  : neighbors at    1.105   1.803   1.803   2.114 A
         d(center): 9.234 A  angles  :    34.8    34.8    42.0    59.8    64.8    64.8
 atom  21 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center): 9.368 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom  22 species H  : neighbors at    1.068   1.704   1.704   2.014 A
         d(center): 8.588 A  angles  :    35.5    35.5   172.4    58.5   140.0   140.0
 atom  23 species C  : neighbors at    1.095   1.095   1.105   1.489 A
         d(center): 8.444 A  angles  :   110.4   110.1   109.0   110.1   109.0   108.2
 atom  24 species N  : neighbors at    1.039   1.039   1.068   1.489 A
         d(center): 9.073 A  angles  :   106.4   107.9   109.8   107.9   109.8   114.7
 atom  25 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center):16.003 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  26 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center):18.254 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom  27 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center):16.003 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  28 species H  : neighbors at    1.105   1.803   1.803   2.114 A
         d(center):17.178 A  angles  :    34.8    34.8    42.0    59.8    64.8    64.8
 atom  29 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center):18.254 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom  30 species H  : neighbors at    1.068   1.704   1.704   2.013 A
         d(center):17.288 A  angles  :    35.5    35.5   172.4    58.5   139.9   139.9
 atom  31 species C  : neighbors at    1.095   1.095   1.105   1.489 A
         d(center):16.598 A  angles  :   110.4   110.1   109.0   110.1   109.0   108.2
 atom  32 species N  : neighbors at    1.039   1.039   1.068   1.489 A
         d(center):17.624 A  angles  :   106.4   107.9   109.8   107.9   109.8   114.7
 atom  33 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center): 9.024 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  34 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center):10.940 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom  35 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center): 9.024 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  36 species H  : neighbors at    1.105   1.803   1.803   2.114 A
         d(center): 8.670 A  angles  :    34.8    34.8    42.0    59.8    64.8    64.8
 atom  37 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center):10.940 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom  38 species H  : neighbors at    1.068   1.704   1.704   2.014 A
         d(center):11.306 A  angles  :    35.5    35.5   172.5    58.5   140.0   140.0
 atom  39 species C  : neighbors at    1.095   1.095   1.105   1.489 A
         d(center): 9.191 A  angles  :   110.4   110.1   109.0   110.1   109.0   108.2
 atom  40 species N  : neighbors at    1.039   1.039   1.068   1.489 A
         d(center):10.648 A  angles  :   106.4   107.9   109.8   107.9   109.8   114.7
 atom  41 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center):17.142 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  42 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center):19.778 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom  43 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center):17.517 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  44 species H  : neighbors at    1.105   1.803   1.803   2.114 A
         d(center):17.634 A  angles  :    34.8    34.8    42.0    59.8    64.8    64.8
 atom  45 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center):19.472 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom  46 species H  : neighbors at    1.068   1.704   1.704   2.014 A
         d(center):19.467 A  angles  :    35.5    35.5   172.4    58.5   140.0   140.0
 atom  47 species C  : neighbors at    1.095   1.095   1.105   1.489 A
         d(center):17.738 A  angles  :   110.4   110.1   109.0   110.1   109.0   108.2
 atom  48 species N  : neighbors at    1.039   1.039   1.068   1.489 A
         d(center):19.175 A  angles  :   106.4   107.9   109.8   107.9   109.8   114.7
 atom  49 species Cl : neighbors at    2.014   2.347   2.437   2.907 A
         d(center): 8.074 A  angles  :    97.8   163.2    97.6    99.0    73.4    87.3
 atom  50 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center):14.728 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  51 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center):12.125 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom  52 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center):14.281 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  53 species H  : neighbors at    1.105   1.803   1.803   2.114 A
         d(center):13.413 A  angles  :    34.8    34.8    42.0    59.8    64.8    64.8
 atom  54 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center):12.610 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
 atom  55 species H  : neighbors at    1.068   1.704   1.704   2.014 A
         d(center):13.433 A  angles  :    35.5    35.5   172.4    58.5   140.0   140.0
 atom  56 species C  : neighbors at    1.095   1.095   1.105   1.489 A
         d(center):13.881 A  angles  :   110.4   110.1   109.0   110.1   109.0   108.2
 atom  57 species N  : neighbors at    1.039   1.039   1.068   1.489 A
         d(center):12.937 A  angles  :   106.4   107.9   109.8   107.9   109.8   114.7
 atom  58 species Cl : neighbors at    2.014   2.347   2.437   2.907 A
         d(center):12.668 A  angles  :    97.8   163.2    97.6    99.0    73.4    87.3
 atom  59 species Cl : neighbors at    2.014   2.347   2.436   2.907 A
         d(center):17.763 A  angles  :    97.8   163.2    97.5    99.0    73.4    87.3
 atom  60 species H  : neighbors at    1.095   1.799   1.803   2.116 A
         d(center): 5.185 A  angles  :    34.8    35.1    41.7    60.1    64.8    64.7
 atom  61 species H  : neighbors at    1.039   1.664   1.704   2.085 A
         d(center): 4.007 A  angles  :    36.8    36.6    42.2    60.8    66.5    68.8
