Distances between atoms, up to dmax=  3.00 A   (* = with lattice translation)
  #1  #2   bond       d
 atom  22 species O  : neighbors at    1.238   2.214   2.236   2.346 A
         d(center): 4.944 A  angles  :    26.9    33.5    84.0    60.4   108.9    54.0
 atom  23 species N  : neighbors at    1.237   1.248   1.393   2.425 A
         d(center): 2.229 A  angles  :   125.4   118.3   152.1   116.2    82.4    33.8
 atom  24 species O  : neighbors at    1.237   2.209   2.216   2.259 A
         d(center): 3.252 A  angles  :    27.4    86.0    32.9   112.5    60.3    54.9
 atom  25 species N  : neighbors at    1.393   1.453   1.486   2.063 A
         d(center): 2.555 A  angles  :   117.4   114.7    88.6   121.3    30.4   151.1
 atom  26 species N  : neighbors at    1.238   1.244   1.385   2.410 A
         d(center): 4.693 A  angles  :   126.3   116.9    85.2   116.8   148.3    32.2
 atom  27 species O  : neighbors at    1.244   2.214   2.240   2.428 A
         d(center): 5.694 A  angles  :    26.8    33.5   142.1    60.3   149.1   118.8
 atom  28 species N  : neighbors at    1.385   1.441   1.465   2.051 A
         d(center): 3.460 A  angles  :   117.0   119.3   142.9   123.6    30.6    94.6
 atom  29 species H  : neighbors at    1.094   1.787   2.063   2.124 A
         d(center): 7.351 A  angles  :    35.7    42.2    40.0    65.7    63.2    71.0
 atom  30 species H  : neighbors at    1.103   1.787   2.069   2.100 A
         d(center): 7.621 A  angles  :    35.4    42.8    40.6    66.4    63.5    71.4
 atom  31 species C  : neighbors at    1.094   1.103   1.453   1.465 A
         d(center): 7.139 A  angles  :   108.9   107.3   111.4   109.7   106.5   112.9
 atom  32 species O  : neighbors at    1.249   2.139   2.209   2.244 A
         d(center): 6.048 A  angles  :   108.0    27.2    33.8   101.4   112.1    61.0
 atom  33 species H  : neighbors at    1.093   1.793   2.081   2.104 A
         d(center): 4.320 A  angles  :    34.9    40.7    42.1    63.4    65.6    70.5
 atom  34 species H  : neighbors at    1.093   1.793   2.051   2.127 A
         d(center): 6.104 A  angles  :    34.9    42.2    41.0    65.2    64.3    70.6
 atom  35 species C  : neighbors at    1.093   1.093   1.441   1.486 A
         d(center): 5.308 A  angles  :   110.2   107.3   110.2   109.6   108.4   111.1
 atom  36 species O  : neighbors at    1.238   2.214   2.236   2.346 A
         d(center): 3.915 A  angles  :    26.9    33.5    84.0    60.4   108.9    54.0
 atom  37 species N  : neighbors at    1.237   1.249   1.393   2.425 A
         d(center): 6.022 A  angles  :   125.4   118.3   152.1   116.2    82.4    33.8
 atom  38 species O  : neighbors at    1.237   2.209   2.216   2.259 A
         d(center): 6.624 A  angles  :    27.4    86.0    32.9   112.5    60.3    54.9
 atom  39 species N  : neighbors at    1.393   1.453   1.486   2.063 A
         d(center): 5.616 A  angles  :   117.4   114.7    88.6   121.3    30.4   151.1
 atom  40 species N  : neighbors at    1.238   1.244   1.385   2.410 A
         d(center): 5.016 A  angles  :   126.3   116.9    85.2   116.8   148.3    32.2
 atom  41 species O  : neighbors at    1.244   2.214   2.240   2.428 A
         d(center): 5.797 A  angles  :    26.8    33.5   142.1    60.3   149.1   118.8
 atom  42 species N  : neighbors at    1.385   1.441   1.465   2.051 A
         d(center): 5.733 A  angles  :   117.0   119.3   143.0   123.6    30.6    94.6
 atom  43 species H  : neighbors at    1.094   1.787   2.063   2.124 A
         d(center): 3.995 A  angles  :    35.7    42.2    39.9    65.7    63.2    71.0
 atom  44 species H  : neighbors at    1.103   1.787   2.069   2.100 A
         d(center): 4.462 A  angles  :    35.4    42.8    40.6    66.4    63.5    71.4
 atom  45 species C  : neighbors at    1.094   1.103   1.453   1.465 A
         d(center): 3.569 A  angles  :   108.9   107.3   111.4   109.7   106.5   112.9
 atom  46 species O  : neighbors at    1.248   2.139   2.209   2.244 A
         d(center): 6.936 A  angles  :   108.0    27.2    33.8   101.4   112.1    61.0
 atom  47 species H  : neighbors at    1.093   1.793   2.081   2.104 A
         d(center): 5.403 A  angles  :    34.9    40.7    42.1    63.4    65.6    70.5
 atom  48 species H  : neighbors at    1.093   1.793   2.051   2.127 A
         d(center): 5.468 A  angles  :    34.9    42.2    41.0    65.2    64.3    70.6
 atom  49 species C  : neighbors at    1.093   1.093   1.441   1.486 A
         d(center): 4.789 A  angles  :   110.2   107.2   110.2   109.6   108.4   111.1
 atom  50 species O  : neighbors at    1.238   2.214   2.236   2.346 A
         d(center): 3.941 A  angles  :    26.9    33.5    84.0    60.4   108.9    54.0
 atom  51 species N  : neighbors at    1.237   1.248   1.393   2.425 A
         d(center): 6.084 A  angles  :   125.4   118.3   152.1   116.2    82.4    33.8
 atom  52 species O  : neighbors at    1.237   2.209   2.216   2.259 A
         d(center): 6.520 A  angles  :    27.4    86.0    32.9   112.5    60.3    54.9
 atom  53 species N  : neighbors at    1.393   1.453   1.486   2.063 A
         d(center): 4.758 A  angles  :   117.4   114.7    88.6   121.3    30.4   151.1
 atom  54 species N  : neighbors at    1.238   1.244   1.385   2.410 A
         d(center): 3.267 A  angles  :   126.3   116.9    85.2   116.8   148.3    32.2
 atom  55 species O  : neighbors at    1.244   2.214   2.240   2.428 A
         d(center): 2.853 A  angles  :    26.8    33.5   142.1    60.3   149.1   118.8
 atom  56 species N  : neighbors at    1.385   1.441   1.465   2.051 A
         d(center): 3.638 A  angles  :   117.0   119.3   142.9   123.6    30.6    94.6
